Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income
1984,Pemerintah pusat,346532,Diploma,Kuliah,Menikah,Administratif dan Kantor,Suami,2,Male,0,0,40,United-States,3,>50K,0
1989,Swasta,66297,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,3,Female,0,0,40,Philippines,0,>50K,0
1979,Swasta,232586,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,50,United-States,0,>50K,0
1961,Swasta,150389,Sarjana,Sarjana,Duda/Janda,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Female,0,0,40,United-States,3,>50K,0
1992,Swasta,117779,SMA Grad,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Punya Anak,1,Female,0,0,35,United-States,0,<=50K,0
1988,Swasta,214378,SMA Grad,SMA Grad,Cerai,Spesialis Profesional,Punya Anak,1,Female,0,0,40,United-States,3,>50K,0
1975,Pemerintah daerah,304246,Magister,Magister,Rencana Cerai,Spesialis Profesional,Belum Menikah,1,Female,0,0,70,United-States,0,<=50K,0
2002,Swasta,226327,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,40,United-States,0,<=50K,0
1991,Swasta,275369,kelas 7-8,SMP_1,Rencana Cerai,Pengelola Kebersihan,Tidak dalam Keluarga,2,Male,0,0,35,Haiti,3,<=50K,0
1996,Swasta,375313,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,3,Male,0,0,40,Philippines,0,<=50K,0
1997,Swasta,329005,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1994,Pemerintah pusat,355789,SMA Grad,SMA Grad,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,2,Female,0,0,50,United-States,0,<=50K,0
1992,Pemerintah pusat,72338,Asosiasi vokasional,vokasi Grad_2,Belum-menikah,Spesialis Profesional,Kerabat,3,Male,0,0,40,United-States,0,<=50K,0
1977,Pengusaha berbadan hukum,212120,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1,>50K,0
1999,Swasta,185287,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1980,Swasta,378251,SMA Grad,SMA Grad,Menikah,Administratif dan Kantor,Istri,1,Female,0,0,38,United-States,0,<=50K,0
1982,Swasta,37937,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,55,United-States,3,>50K,0
1976,Swasta,355978,Magister,Magister,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1981,Pengusaha perorangan,336763,Diploma,Kuliah,Cerai,Sales,Belum Menikah,1,Female,0,880,42,United-States,0,<=50K,0
1965,Swasta,307423,kelas 9,SMP_2,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,2,Male,0,0,50,United-States,0,<=50K,0
2007,Swasta,202521,kelas 11,SMA_2,Belum-menikah,Layanan Lainnya,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1961,Pengusaha perorangan,33487,kelas 7-8,SMP_1,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1964,Swasta,132529,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1986,Swasta,368140,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,50,United-States,1,>50K,0
2002,Swasta,245524,kelas 12,SMA_3,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,35,United-States,0,<=50K,0
2006,Swasta,240183,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,20,United-States,0,<=50K,0
2006,Swasta,256967,kelas 10,SMA_1,Belum-menikah,Sales,Kerabat,2,Female,0,0,40,United-States,0,<=50K,0
1994,Pemerintah daerah,303485,Diploma,Kuliah,Belum-menikah,Transportasi dan Pengangkutan,Belum Menikah,2,Female,0,0,40,United-States,0,<=50K,0
1974,Swasta,92079,Diploma,Kuliah,Menikah,Dukungan Teknis,Suami,1,Male,0,0,45,United-States,3,>50K,0
1976,Swasta,193075,SMA Grad,SMA Grad,Cerai,Sales,Punya Anak,1,Female,0,0,20,United-States,1,<=50K,0
1986,Swasta,436361,SMA Grad,SMA Grad,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,75,United-States,1,<=50K,0
1994,Pengusaha berbadan hukum,205733,Diploma,Kuliah,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,60,United-States,0,<=50K,0
1956,Pemerintah daerah,242095,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,20051,0,40,United-States,0,>50K,0
1984,Pemerintah daerah,202872,Magister,Magister,Menikah,Spesialis Profesional,Istri,1,Female,0,0,40,United-States,3,>50K,0
1971,Pemerintah daerah,231196,SMA Grad,SMA Grad,Menikah,Administratif dan Kantor,Suami,1,Male,0,0,40,United-States,1,<=50K,0
1996,Swasta,194472,Diploma,Kuliah,Menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,40,United-States,1,<=50K,0
1995,Swasta,146949,Asosiasi vokasional,vokasi Grad_2,Menikah,Spesialis Profesional,Suami,1,Male,0,0,43,United-States,3,<=50K,0
1978,Swasta,268022,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,0,0,40,United-States,2,>50K,0
1991,Pengusaha berbadan hukum,144949,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,0,0,65,United-States,0,<=50K,0
2000,Swasta,89347,kelas 11,SMA_2,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1988,Pengusaha perorangan,27053,SMA Grad,SMA Grad,Rencana Cerai,Layanan Lainnya,Belum Menikah,1,Female,0,0,40,United-States,2,<=50K,0
1972,Pemerintah pusat,290856,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0,>50K,0
1986,Pengusaha berbadan hukum,159179,Proffesor,Doktor,Menikah,Spesialis Profesional,Suami,1,Male,0,0,45,United-States,3,>50K,0
1981,Swasta,26915,Asosiasi vokasional,vokasi Grad_2,Menikah,Eksekutif Manager,Suami,1,Male,0,0,45,United-States,0,>50K,0
1988,Pemerintah daerah,382635,Sarjana,Sarjana,Cerai,Administratif dan Kantor,Belum Menikah,1,Female,0,0,35,Honduras,2,<=50K,0
1987,Swasta,195148,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,3137,0,40,United-States,3,<=50K,0
1980,Pengusaha perorangan,38876,SMA Grad,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1969,Pengusaha perorangan,147098,kelas 9,SMP_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,50,United-States,2,<=50K,0
1990,Swasta,157446,SMA Grad,SMA Grad,Cerai,Pekerjaan Kerajinan,Belum Menikah,1,Male,0,0,45,United-States,3,<=50K,0
1959,Pemerintah daerah,323006,SMA Grad,SMA Grad,Duda/Janda,Layanan Lainnya,Belum Menikah,2,Female,0,0,25,United-States,3,<=50K,0
2005,Swasta,459248,SMA Grad,SMA Grad,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,30,United-States,0,<=50K,0
1990,Swasta,204991,Diploma,Kuliah,Cerai,Eksekutif Manager,Punya Anak,1,Male,0,0,44,United-States,0,<=50K,0
1996,Swasta,183151,kelas 11,SMA_2,Menikah,Pengelola Kebersihan,Suami,1,Male,7688,0,40,United-States,0,>50K,0
1972,Swasta,99307,Asosiasi akademik,vokasi Grad_1,Menikah,Sales,Suami,1,Male,3103,0,48,United-States,3,>50K,0
2000,Pemerintah daerah,126613,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Punya Anak,1,Female,0,0,20,United-States,0,<=50K,0
1997,Swasta,145284,SMA Grad,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,40,United-States,1,<=50K,0
1951,Pemerintah daerah,232871,kelas 7-8,SMP_1,Menikah,Layanan Perlindungan,Suami,1,Male,2228,0,10,United-States,1,<=50K,0
1990,Swasta,37646,Asosiasi akademik,vokasi Grad_1,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,65,United-States,2,<=50K,0
2004,Swasta,34706,Diploma,Kuliah,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,2,Male,0,0,47,United-States,0,<=50K,0
1995,Swasta,568490,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1957,Pemerintah daerah,258973,SMA Grad,SMA Grad,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,24,United-States,3,<=50K,0
2005,Pemerintah negara,144429,Diploma,Kuliah,Belum-menikah,Spesialis Profesional,Punya Anak,1,Male,0,0,10,United-States,0,<=50K,0
1959,Pemerintah negara,231604,SMA Grad,SMA Grad,Menikah,Spesialis Profesional,Suami,1,Male,0,0,45,Germany,2,<=50K,0
1989,Swasta,187119,Sarjana,Sarjana,Cerai,Sales,Tidak dalam Keluarga,1,Female,0,1980,65,United-States,1,<=50K,0
2002,Swasta,336215,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,25,United-States,0,<=50K,0
2002,Swasta,134746,kelas 10,SMA_1,Menikah,Sales,Istri,1,Female,0,0,40,United-States,3,<=50K,0
2004,Swasta,39478,Diploma,Kuliah,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,70,United-States,0,<=50K,0
2004,Swasta,262749,Diploma,Kuliah,Belum-menikah,Inspeksi dan Operasi Mesin,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
2001,Swasta,196827,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,1902,40,United-States,0,<=50K,0
1966,Swasta,178644,SMA Grad,SMA Grad,Duda/Janda,Pekerjaan Kerajinan,Belum Menikah,1,Male,0,0,40,United-States,3,<=50K,0
1987,Swasta,324019,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1989,Swasta,98948,Sarjana,Sarjana,Menikah,Layanan Lainnya,Istri,1,Female,0,0,32,United-States,2,<=50K,0
1998,Swasta,179010,Diploma,Kuliah,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,65,United-States,0,<=50K,0
1986,Swasta,223433,SMA Grad,SMA Grad,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1994,Swasta,345122,Proffesor,Doktor,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,1,<=50K,0
1965,Swasta,157305,TK,TK,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,40,Dominican-Republic,0,<=50K,0
2002,Swasta,322674,Diploma,Kuliah,Belum-menikah,Eksekutif Manager,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1983,Pemerintah daerah,175149,SMA Grad,SMA Grad,Cerai,Transportasi dan Pengangkutan,Tidak dalam Keluarga,2,Female,0,0,38,United-States,0,<=50K,0
1991,Swasta,97521,SMA Grad,SMA Grad,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1973,Pengusaha berbadan hukum,229465,Magister,Magister,Menikah,Eksekutif Manager,Suami,1,Male,15024,0,50,United-States,0,>50K,0
1988,Swasta,117312,Asosiasi akademik,vokasi Grad_1,Cerai,Dukungan Teknis,Tidak dalam Keluarga,1,Female,0,0,60,United-States,0,<=50K,0
1980,Pemerintah daerah,145246,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,44,United-States,2,>50K,0
2004,Swasta,230891,Diploma,Kuliah,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,0,0,45,United-States,0,<=50K,0
1971,Swasta,180439,Sarjana,Sarjana,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,>50K,0
1964,Swasta,131852,kelas 5-6,SD_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,30,United-States,0,>50K,0
1993,Swasta,147654,SMA Grad,SMA Grad,Belum-menikah,Eksekutif Manager,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1982,Pemerintah pusat,141459,SMA Grad,SMA Grad,Rencana Cerai,Layanan Lainnya,Kerabat,2,Female,0,0,40,United-States,2,<=50K,0
1984,Swasta,171424,SMA Grad,SMA Grad,Cerai,Transportasi dan Pengangkutan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,1,<=50K,0
1990,Swasta,202210,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Belum Menikah,2,Female,0,0,40,United-States,0,<=50K,0
1980,Swasta,172479,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,7688,0,40,United-States,3,>50K,0
1952,Swasta,76860,SMA Grad,SMA Grad,Menikah,Spesialis Profesional,Suami,3,Male,0,0,1,United-States,2,<=50K,0
1993,Swasta,215047,Sarjana,Sarjana,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Male,0,0,50,United-States,0,<=50K,0
1994,Swasta,37646,Diploma,Kuliah,Menikah,Pengelola Kebersihan,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1981,Swasta,138184,SMA Grad,SMA Grad,Cerai,Layanan Lainnya,Tidak dalam Keluarga,2,Female,0,1762,35,United-States,3,<=50K,0
2004,Swasta,116666,Diploma,Kuliah,Belum-menikah,Sales,Punya Anak,3,Male,0,0,8,India,0,<=50K,0
1977,Pengusaha perorangan,355978,Doktor,Proffesor,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,2002,45,United-States,2,<=50K,0
1971,Swasta,167033,Diploma,Kuliah,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,2,Female,0,0,40,United-States,0,<=50K,0
1991,Swasta,91964,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Belum Menikah,1,Male,0,0,40,United-States,0,<=50K,0
1978,Pengusaha perorangan,256014,Asosiasi vokasional,vokasi Grad_2,Menikah,Eksekutif Manager,Suami,1,Male,0,0,60,United-States,3,<=50K,0
1972,Pengusaha perorangan,334273,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,60,United-States,2,>50K,0
1987,Pemerintah negara,46814,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,38,United-States,0,<=50K,0
1977,Swasta,57534,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,0,>50K,0
1960,Pengusaha perorangan,388625,kelas 10,SMA_1,Menikah,Spesialis Profesional,Suami,1,Male,0,0,10,United-States,0,>50K,0
1982,Swasta,52849,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1968,Swasta,119254,kelas 10,SMA_1,Cerai,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Female,0,0,40,United-States,1,<=50K,0
1974,Swasta,187465,kelas 11,SMA_2,Cerai,Sales,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1989,Swasta,200426,SMA Grad,SMA Grad,Menikah,Sales,Istri,1,Female,0,0,12,United-States,0,<=50K,0
1981,Pemerintah negara,218542,SMA Grad,SMA Grad,Belum-menikah,Administratif dan Kantor,Belum Menikah,2,Female,0,0,40,United-States,0,<=50K,0
1996,Swasta,162343,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,40,Puerto-Rico,0,<=50K,0
1973,Swasta,175070,Asosiasi akademik,vokasi Grad_1,Menikah,Sales,Suami,1,Male,5178,0,45,United-States,0,>50K,0
1983,Swasta,142579,Sarjana,Sarjana,Duda/Janda,Sales,Belum Menikah,2,Male,0,0,50,United-States,1,<=50K,0
1959,Swasta,169047,SMA Grad,SMA Grad,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,10,United-States,0,<=50K,0
1967,Swasta,308861,Diploma,Kuliah,Rencana Cerai,Sales,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1980,Swasta,230684,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,7688,0,50,United-States,2,>50K,0
2000,Swasta,41356,Diploma,Kuliah,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1984,Swasta,316820,kelas 7-8,SMP_1,Menikah,Sales,Suami,1,Male,4064,0,40,United-States,0,<=50K,0
1991,Swasta,246038,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,3,>50K,0
1971,Swasta,89400,Diploma,Kuliah,Duda/Janda,Eksekutif Manager,Belum Menikah,1,Female,0,0,40,United-States,1,<=50K,0
1991,Swasta,112358,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,32,United-States,0,<=50K,0
1993,Swasta,174201,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,65,United-States,3,<=50K,0
1984,Swasta,84136,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,25,United-States,3,<=50K,0
1990,Pengusaha perorangan,203488,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,0,<=50K,0
1984,Swasta,287008,Proffesor,Doktor,Menikah,Spesialis Profesional,Suami,1,Male,15024,0,55,Germany,3,>50K,0
1939,Pengusaha perorangan,166027,SMA Grad,SMA Grad,Duda/Janda,Sales,Tidak dalam Keluarga,1,Female,0,0,50,United-States,1,<=50K,0
2003,Pemerintah negara,173324,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Punya Anak,2,Male,0,0,20,United-States,0,<=50K,0
1956,Swasta,50351,Magister,Magister,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,6360,0,20,United-States,0,<=50K,0
2003,Swasta,161930,SMA Grad,SMA Grad,Belum-menikah,Administratif dan Kantor,Punya Anak,2,Female,0,1504,30,United-States,0,<=50K,0
1998,Swasta,180246,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,7688,0,40,United-States,2,>50K,0
1988,Swasta,88967,kelas 11,SMA_2,Belum-menikah,Transportasi dan Pengangkutan,Belum Menikah,4,Male,0,0,65,United-States,0,<=50K,0
1989,Swasta,44780,Diploma,Kuliah,Menikah,Administratif dan Kantor,Istri,1,Female,7688,0,20,United-States,0,>50K,0
1993,Swasta,204829,SMA Grad,SMA Grad,Cerai,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,40,United-States,2,<=50K,0
2000,Swasta,172152,Sarjana,Sarjana,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,3,Male,0,0,25,Taiwan,0,<=50K,0
1987,Pemerintah pusat,143547,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
2000,Swasta,82804,SMA Grad,SMA Grad,Belum-menikah,Pengelola Kebersihan,Belum Menikah,2,Female,0,0,40,United-States,0,<=50K,0
1977,Swasta,185041,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,1,Male,7298,0,40,United-States,2,>50K,0
1985,Swasta,48915,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,3,>50K,0
1995,Swasta,53642,Asosiasi vokasional,vokasi Grad_2,Menikah,Administratif dan Kantor,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1970,Swasta,123011,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,45,United-States,1,>50K,0
2001,Swasta,207415,Asosiasi akademik,vokasi Grad_1,Menikah,Sales,Istri,1,Female,0,0,25,United-States,0,<=50K,0
1982,Swasta,138662,Diploma,Kuliah,Rencana Cerai,Administratif dan Kantor,Punya Anak,1,Female,0,0,40,United-States,0,<=50K,0
1962,Swasta,205643,Proffesor,Doktor,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,45,United-States,3,>50K,0
1992,Pengusaha berbadan hukum,199765,Sarjana,Sarjana,Menikah,Pekerjaan Kerajinan,Suami,1,Male,7688,0,50,United-States,0,>50K,0
1999,Swasta,101812,Asosiasi vokasional,vokasi Grad_2,Menikah,Sales,Suami,1,Male,0,0,41,United-States,1,<=50K,0
1975,Swasta,248895,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,45,United-States,0,<=50K,0
1992,Swasta,206609,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,60,United-States,0,>50K,0
2003,Swasta,188535,Diploma,Kuliah,Belum-menikah,Eksekutif Manager,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1992,Swasta,302845,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Istri,1,Female,0,0,48,United-States,2,<=50K,0
1997,Swasta,157941,Asosiasi vokasional,vokasi Grad_2,Menikah,Sales,Suami,1,Male,0,0,45,United-States,3,<=50K,0
1984,Swasta,379919,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,2,<=50K,0
1987,Pengusaha perorangan,162834,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,1902,45,United-States,2,>50K,0
1995,Pemerintah pusat,339002,Asosiasi vokasional,vokasi Grad_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,0,>50K,0
1971,Swasta,201127,Magister,Magister,Menikah,Eksekutif Manager,Suami,1,Male,0,0,48,United-States,3,>50K,0
1969,Swasta,31905,Magister,Magister,Menikah,Eksekutif Manager,Suami,1,Male,0,1977,40,United-States,2,>50K,0
2003,Swasta,243368,TK,TK,Belum-menikah,Pertanian dan Perikanan,Tidak dalam Keluarga,1,Male,0,0,50,Mexico,0,<=50K,0
1980,Swasta,126701,SMA Grad,SMA Grad,Cerai,Pekerjaan Kerajinan,Belum Menikah,1,Male,0,0,40,United-States,2,<=50K,0
1996,Pemerintah daerah,34452,Proffesor,Doktor,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1993,Swasta,59496,Diploma,Kuliah,Menikah,Administratif dan Kantor,Suami,1,Male,0,0,50,United-States,1,<=50K,0
1974,Swasta,123044,Magister,Magister,Menikah,Administratif dan Kantor,Suami,1,Male,0,0,60,United-States,2,>50K,0
2006,Swasta,236272,SMA Grad,SMA Grad,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,35,United-States,0,<=50K,0
1978,Swasta,328216,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,15024,0,40,United-States,3,>50K,0
1985,Pengusaha perorangan,126569,Proffesor,Doktor,Menikah,Spesialis Profesional,Suami,1,Male,15024,0,60,United-States,1,>50K,0
1996,Swasta,192283,Magister,Magister,LDM,Sales,Tidak dalam Keluarga,1,Female,0,0,80,United-States,0,>50K,0
1959,Pemerintah daerah,205024,SMA Grad,SMA Grad,Menikah,Layanan Lainnya,Suami,1,Male,0,0,8,United-States,3,<=50K,0
1997,Swasta,32519,Diploma,Kuliah,Menikah,Sales,Suami,3,Male,0,0,55,South,3,<=50K,0
1981,Pemerintah negara,114508,SMA Grad,SMA Grad,Cerai,Eksekutif Manager,Belum Menikah,1,Female,0,0,40,United-States,2,<=50K,0
1987,Swasta,188069,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,0,<=50K,0
2001,Swasta,204653,SMA Grad,SMA Grad,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,72,Dominican-Republic,0,<=50K,0
1990,Swasta,293900,kelas 11,SMA_2,LDM,Pekerjaan Kerajinan,Tidak dalam Keluarga,2,Male,0,0,55,United-States,3,<=50K,0
2002,Swasta,181773,SMA Grad,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Punya Anak,2,Male,0,0,40,United-States,0,<=50K,0
1998,Pemerintah negara,28366,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1995,Swasta,207064,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,3,<=50K,0
2004,Swasta,161978,SMA Grad,SMA Grad,Rencana Cerai,Inspeksi dan Operasi Mesin,Punya Anak,1,Male,0,0,40,United-States,2,<=50K,0
1983,Swasta,217455,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Belum Menikah,1,Female,0,0,40,United-States,2,<=50K,0
1971,Pengusaha perorangan,88506,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,3,<=50K,0
2006,Pengusaha perorangan,312634,kelas 11,SMA_2,Belum-menikah,Spesialis Profesional,Punya Anak,1,Male,0,0,25,United-States,0,<=50K,0
1996,Swasta,312588,kelas 10,SMA_1,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,40,United-States,1,<=50K,0
1984,Swasta,116632,Sarjana,Sarjana,Belum-menikah,Sales,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
2005,Swasta,199484,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,25,United-States,0,<=50K,0
1991,Swasta,279173,SMA Grad,SMA Grad,Menikah,Spesialis Profesional,Suami,1,Male,0,0,60,United-States,0,<=50K,0
1984,Swasta,346189,Doktor,Proffesor,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0,>50K,0
2000,Swasta,118657,kelas 12,SMA_3,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1997,Swasta,189974,Diploma,Kuliah,Cerai,Administratif dan Kantor,Punya Anak,1,Female,0,0,20,United-States,3,<=50K,0
1990,Pemerintah daerah,183801,Sarjana,Sarjana,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,14,United-States,0,<=50K,0
1993,Swasta,446512,Diploma,Kuliah,Rencana Cerai,Layanan Lainnya,Belum Menikah,2,Female,0,0,40,United-States,2,<=50K,0
1977,Swasta,334039,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,7298,0,44,United-States,0,>50K,0
1996,Swasta,47168,kelas 10,SMA_1,Belum-menikah,Inspeksi dan Operasi Mesin,Punya Anak,1,Female,0,0,40,United-States,0,<=50K,0
1991,Swasta,168387,kelas 11,SMA_2,Menikah,Layanan Lainnya,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1987,Swasta,110713,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,50,United-States,3,>50K,0
