Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income,in_relationship,income_monthly,Kelas Penghasilan,Age
2002,Swasta,131230,Sarjana,Belum-menikah,Sales,Punya Anak,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,22
1982,Pengusaha perorangan,29320,Proffesor,Belum-menikah,Spesialis Profesional,Belum Menikah,1,Male,0,0,60,United-States,0.0,1,0,0,0,Low,42
1969,Pengusaha perorangan,145574,SMA Grad,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Male,34095,0,60,United-States,0.0,0,0,0,136380,Low,55
1996,Swasta,189346,SMA Grad,Belum-menikah,Pengelola Kebersihan,Punya Anak,1,Male,0,0,48,United-States,1.0,0,0,0,0,Low,28
1992,Swasta,176185,Diploma,Cerai,Eksekutif Manager,Kerabat,1,Male,0,0,60,United-States,3.0,0,0,0,0,Low,32
1996,Swasta,62535,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,43,United-States,2.0,0,0,1,0,Low,28
2003,Swasta,313873,SD,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,40,Mexico,0.0,0,0,0,0,Low,21
1970,Pengusaha perorangan,58898,Diploma,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,1579,48,United-States,2.0,0,0,1,0,Low,54
2001,Swasta,145964,Diploma,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0.0,0,0,0,0,Low,23
1977,Swasta,115813,Asosiasi akademik,Belum-menikah,Administratif dan Kantor,Belum Menikah,1,Female,0,0,57,United-States,1.0,0,0,0,0,Low,47
1988,Swasta,607848,Diploma,Menikah,Sales,Suami,1,Male,7688,0,45,United-States,3.0,1,0,1,30752,Low,36
1985,Swasta,149943,Magister,Belum-menikah,Sales,Tidak dalam Keluarga,3,Male,0,0,40,China,0.0,0,0,0,0,Low,39
1986,Swasta,160808,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,2,Male,4386,0,48,United-States,3.0,0,0,1,17544,Low,38
1969,Swasta,120970,SMA,Menikah,Pekerjaan Kerajinan,Suami,2,Male,0,0,40,United-States,1.0,1,0,1,0,Low,55
1972,Swasta,114228,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,3325,0,40,United-States,3.0,0,0,0,13300,Low,52
1978,Swasta,563883,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,2,Male,0,0,60,United-States,3.0,1,0,1,0,Low,46
1982,Sektor Pemerintah,25240,Asosiasi vokasional,Belum-menikah,Spesialis Profesional,Belum Menikah,4,Female,0,0,40,United-States,1.0,0,0,0,0,Low,42
1964,Swasta,85995,Magister,Menikah,Administratif dan Kantor,Suami,3,Male,0,0,50,South,2.0,1,0,1,0,Low,60
1985,Swasta,278403,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,65,United-States,1.0,0,0,1,0,Low,39
2005,Swasta,160811,SMA Grad,Belum-menikah,Sales,Punya Anak,1,Male,0,0,38,United-States,1.0,0,0,0,0,Low,19
1985,Swasta,184128,SMA,Cerai,Sales,Kerabat,1,Female,0,0,40,United-States,2.0,0,0,0,0,Low,39
1991,Swasta,37232,Diploma,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,80,United-States,0.0,0,0,0,0,Low,33
1934,Swasta,88991,Sarjana,Menikah,Eksekutif Manager,Istri,1,Female,0,0,40,England,1.0,1,0,1,0,Low,90
2001,Swasta,26248,SMA Grad,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,40,United-States,1.0,0,0,0,0,Low,23
1963,Sektor Pemerintah,221943,Diploma,Menikah,Administratif dan Kantor,Suami,1,Male,9386,0,40,United-States,3.0,1,0,1,37544,Low,61
1999,Swasta,632834,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,2,Male,0,0,40,United-States,1.0,0,0,0,0,Low,25
1980,Sektor Pemerintah,184099,SMA Grad,Menikah,Administratif dan Kantor,Suami,1,Male,0,0,40,United-States,2.0,1,0,1,0,Low,44
1984,Swasta,352612,SMA,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,0.0,0,0,1,0,Low,40
1993,Swasta,102884,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,50,United-States,2.0,0,0,1,0,Low,31
1984,Swasta,119225,Asosiasi vokasional,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0.0,0,0,1,0,Low,40
2000,Swasta,233777,Diploma,Belum-menikah,Sales,Belum Menikah,1,Male,0,0,50,Mexico,0.0,0,0,0,0,Low,24
1981,Swasta,180138,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,45,United-States,0.0,0,0,0,0,Low,43
1998,Swasta,247006,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,52,United-States,1.0,0,0,1,0,Low,26
1979,Sektor Pemerintah,144351,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0.0,1,0,1,0,Low,45
1996,Swasta,77009,SMP,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,50,United-States,1.0,0,0,0,0,Low,28
2000,Sektor Pemerintah,289909,Diploma,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,3.0,0,0,1,0,Low,24
2005,Swasta,339123,Diploma,Belum-menikah,Eksekutif Manager,Punya Anak,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,19
1988,Swasta,32709,Diploma,Belum-menikah,Sales,Tidak dalam Keluarga,1,Female,3325,0,45,United-States,3.0,0,0,0,13300,Low,36
2004,Swasta,218178,SMA Grad,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0.0,0,0,0,0,Low,20
2006,Swasta,298860,SMA,Belum-menikah,Pengelola Kebersihan,Punya Anak,1,Male,0,0,20,United-States,1.0,0,0,0,0,Low,18
1964,Swasta,232337,SMP,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0.0,0,0,0,0,Low,60
2002,Swasta,136767,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,30,United-States,3.0,0,0,1,0,Low,22
1971,Swasta,183973,SMA,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,48,United-States,0.0,1,0,1,0,Low,53
1986,Swasta,300975,Magister,Menikah,Layanan Lainnya,Suami,2,Male,0,1485,40,United-States,3.0,0,0,1,0,Low,38
2006,Swasta,79443,SMP,Belum-menikah,Inspeksi dan Operasi Mesin,Punya Anak,1,Male,0,0,40,Mexico,1.0,0,0,0,0,Low,18
2006,Swasta,190325,SMA,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,30,United-States,1.0,0,0,0,0,Low,18
1974,Pengusaha perorangan,89737,Diploma,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,48,United-States,1.0,0,0,1,0,Low,50
1990,Sektor Pemerintah,103371,Asosiasi vokasional,Belum-menikah,Administratif dan Kantor,Belum Menikah,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,34
1989,Swasta,46028,Asosiasi akademik,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,50,United-States,3.0,0,0,0,0,Low,35
1992,Swasta,158438,Diploma,Menikah,Eksekutif Manager,Suami,1,Male,0,0,60,United-States,2.0,1,0,1,0,Low,32
1987,Swasta,76893,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1.0,0,0,1,0,Low,37
1983,Swasta,88368,SMA Grad,Belum-menikah,Sales,Tidak dalam Keluarga,1,Female,0,0,50,United-States,0.0,0,0,0,0,Low,41
1974,Swasta,204447,Magister,Menikah,Eksekutif Manager,Suami,1,Male,15024,0,65,United-States,1.0,1,0,1,60096,Low,50
1982,Swasta,77373,Diploma,Menikah,Pengelola Kebersihan,Suami,1,Male,0,0,38,United-States,0.0,0,0,1,0,Low,42
1974,Swasta,182360,SMA Grad,Belum-menikah,Spesialis Profesional,Belum Menikah,5,Female,0,0,60,Puerto-Rico,2.0,0,0,0,0,Low,50
1960,Swasta,146272,Diploma,Menikah,Spesialis Profesional,Suami,1,Male,3411,0,15,United-States,1.0,0,0,1,13644,Low,64
1961,Swasta,137843,Diploma,Menikah,Sales,Suami,1,Male,7298,0,48,United-States,3.0,1,0,1,29192,Low,63
1982,Swasta,202466,Asosiasi akademik,Belum-menikah,Spesialis Profesional,Belum Menikah,1,Female,0,0,45,United-States,1.0,0,0,0,0,Low,42
1990,Swasta,48014,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,35,United-States,0.0,0,0,0,0,Low,34
2003,Swasta,75763,Diploma,Menikah,Sales,Istri,4,Female,0,0,40,United-States,1.0,0,0,1,0,Low,21
1985,Swasta,195253,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,1.0,1,0,1,0,Low,39
2000,Swasta,70261,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,0.0,0,0,1,0,Low,24
2001,Swasta,117789,Sarjana,Belum-menikah,Eksekutif Manager,Punya Anak,1,Female,0,0,40,United-States,1.0,0,0,0,0,Low,23
2002,Swasta,29444,SMA,Belum-menikah,Pertanian dan Perikanan,Tidak dalam Keluarga,4,Male,0,0,50,United-States,0.0,0,0,0,0,Low,22
2004,Swasta,256240,SMA Grad,Belum-menikah,Layanan Lainnya,Punya Anak,1,Male,0,0,30,United-States,1.0,0,0,0,0,Low,20
1997,Sektor Pemerintah,553473,Sarjana,Menikah,Layanan Perlindungan,Istri,2,Female,0,0,48,United-States,3.0,0,0,1,0,Low,27
1992,Swasta,239659,Diploma,Belum-menikah,Inspeksi dan Operasi Mesin,Belum Menikah,2,Female,0,0,70,United-States,0.0,0,0,0,0,Low,32
2005,Swasta,517036,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Female,0,0,40,El-Salvador,1.0,0,0,0,0,Low,19
1989,Swasta,26987,SMA Grad,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,1.0,0,0,0,0,Low,35
1992,Swasta,193285,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,32
2001,Swasta,162945,SMA Grad,Menikah,Sales,Suami,1,Male,0,2377,40,United-States,1.0,0,0,1,0,Low,23
1996,Swasta,92262,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1.0,0,0,1,0,Low,28
1991,Swasta,159303,SMA Grad,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,40,United-States,1.0,0,0,0,0,Low,33
1949,Swasta,260543,SMA,Duda/Janda,Spesialis Profesional,Kerabat,3,Female,0,0,1,China,1.0,0,0,0,0,Low,75
1998,Swasta,96130,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Kerabat,1,Male,0,0,40,United-States,0.0,0,0,0,0,Low,26
1982,Swasta,139126,Diploma,Menikah,Dukungan Teknis,Suami,1,Male,0,0,40,United-States,1.0,1,0,1,0,Low,42
1957,Swasta,264095,Diploma,Menikah,Pengelola Kebersihan,Suami,1,Male,9386,0,24,Cuba,3.0,1,0,1,37544,Low,67
1970,Swasta,421561,Diploma,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0.0,1,0,1,0,Low,54
2002,Swasta,130724,Diploma,Belum-menikah,Sales,Punya Anak,2,Male,0,0,25,United-States,1.0,0,0,0,0,Low,22
1989,Swasta,220585,SMA,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,3.0,0,0,1,0,Low,35
2000,Swasta,99970,Sarjana,Belum-menikah,Dukungan Teknis,Punya Anak,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,24
1957,Swasta,160456,SMA,Duda/Janda,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,67
1967,Pengusaha perorangan,138285,Asosiasi akademik,Menikah,Layanan Lainnya,Suami,1,Male,0,0,40,Iran,0.0,0,0,1,0,Low,57
1953,Pengusaha berbadan hukum,66624,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,2392,60,United-States,1.0,1,0,1,0,Low,71
2001,Swasta,37783,Diploma,Belum-menikah,Sales,Punya Anak,1,Female,0,0,40,United-States,1.0,0,0,0,0,Low,23
1965,Swasta,308118,Asosiasi akademik,Duda/Janda,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,1,0,0,0,Low,59
1999,Swasta,29599,Diploma,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,38,United-States,2.0,0,0,1,0,Low,25
2000,Swasta,385540,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,40,Mexico,0.0,0,0,1,0,Low,24
1994,Sektor Pemerintah,137613,Magister,Menikah,Spesialis Profesional,Suami,3,Male,0,0,17,Taiwan,3.0,0,0,1,0,Low,30
1975,Swasta,171411,SMP,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,49
1965,Swasta,117059,SMA,Menikah,Transportasi dan Pengangkutan,Suami,4,Male,0,0,40,United-States,0.0,0,0,1,0,Low,59
1987,Swasta,709445,SMA Grad,Rencana Cerai,Pekerjaan Kerajinan,Kerabat,2,Male,0,0,40,United-States,1.0,0,0,1,0,Low,37
1998,Swasta,330263,SMA Grad,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0.0,0,0,0,0,Low,26
2006,Swasta,30246,Diploma,Belum-menikah,Spesialis Profesional,Punya Anak,1,Female,0,0,20,United-States,1.0,0,0,0,0,Low,18
1968,Sektor Pemerintah,671292,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,38,United-States,3.0,1,0,1,0,Low,56
1988,Swasta,189674,SMA Grad,Belum-menikah,Pembantu Rumah Tangga,Belum Menikah,2,Female,0,0,28,United-States,0.0,0,0,0,0,Low,36
2003,Swasta,129350,Diploma,Belum-menikah,Sales,Punya Anak,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,21
1992,Swasta,100135,Sarjana,Belum-menikah,Spesialis Profesional,Belum Menikah,1,Female,0,0,32,United-States,1.0,0,0,0,0,Low,32
1996,Sektor Pemerintah,183445,SMA Grad,Belum-menikah,Eksekutif Manager,Belum Menikah,1,Female,0,0,70,Puerto-Rico,0.0,0,0,0,0,Low,28
1994,Swasta,281030,Asosiasi vokasional,Menikah,Sales,Suami,1,Male,4064,0,40,United-States,3.0,0,0,1,16256,Low,30
1955,Swasta,277588,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,10,United-States,3.0,0,0,1,0,Low,69
1982,Swasta,210525,Magister,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0.0,0,0,0,0,Low,42
1991,Swasta,288825,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,2258,84,United-States,0.0,0,0,0,0,Low,33
1963,Pengusaha berbadan hukum,61040,Diploma,Menikah,Sales,Suami,1,Male,7688,0,36,United-States,0.0,1,0,1,30752,Low,61
1988,Swasta,102945,Asosiasi vokasional,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,2.0,0,0,0,0,Low,36
1978,Swasta,264210,Diploma,Menikah,Pertanian dan Perikanan,Istri,1,Female,0,0,20,United-States,3.0,0,0,1,0,Low,46
1995,Swasta,200381,SMA,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,29
1972,Swasta,123780,SMA Grad,Menikah,Administratif dan Kantor,Istri,1,Female,0,0,38,United-States,0.0,0,0,1,0,Low,52
1986,Swasta,33105,Sarjana,Menikah,Spesialis Profesional,Suami,4,Male,0,0,70,United-States,3.0,1,0,1,0,Low,38
1969,Sektor Pemerintah,176904,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,1.0,0,0,1,0,Low,55
2005,Swasta,45643,Diploma,Belum-menikah,Spesialis Profesional,Punya Anak,1,Female,0,0,25,United-States,1.0,0,0,0,0,Low,19
1974,Pengusaha perorangan,348099,SMA,Belum-menikah,Sales,Tidak dalam Keluarga,1,Female,0,0,50,United-States,3.0,0,0,0,0,Low,50
1987,Swasta,329980,Magister,Menikah,Eksekutif Manager,Suami,1,Male,0,2415,60,United-States,3.0,1,0,1,0,Low,37
1966,Swasta,233193,SMA Grad,Duda/Janda,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,27,United-States,2.0,0,0,0,0,Low,58
1992,Sektor Pemerintah,249409,SMA Grad,Belum-menikah,Layanan Lainnya,Punya Anak,2,Male,0,0,40,United-States,1.0,0,0,0,0,Low,32
2004,Swasta,71475,Diploma,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,40,United-States,1.0,0,0,0,0,Low,20
2004,Swasta,493443,SMA,Belum-menikah,Pengelola Kebersihan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0.0,0,0,0,0,Low,20
1987,Sektor Pemerintah,325538,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,1.0,1,0,1,0,Low,37
2005,Swasta,45381,Diploma,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,8,United-States,1.0,0,0,0,0,Low,19
2002,Swasta,177902,Diploma,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,3,Female,0,0,25,United-States,0.0,0,0,0,0,Low,22
2004,Swasta,94401,SMA Grad,Belum-menikah,Eksekutif Manager,Belum Menikah,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,20
1991,Pengusaha perorangan,109959,Diploma,Menikah,Sales,Suami,1,Male,0,0,25,United-States,1.0,0,0,1,0,Low,33
1988,Swasta,170376,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,45,United-States,0.0,1,0,1,0,Low,36
1970,Pengusaha perorangan,109418,Sarjana,Menikah,Eksekutif Manager,Istri,1,Female,0,1977,35,United-States,3.0,1,0,1,0,Low,54
2002,Swasta,230574,SMA,Belum-menikah,Transportasi dan Pengangkutan,Punya Anak,1,Male,0,0,25,United-States,1.0,0,0,0,0,Low,22
2001,Swasta,238831,Diploma,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,23
1992,Swasta,153963,SMA Grad,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,35,United-States,2.0,0,0,0,0,Low,32
1964,Swasta,232618,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,35,United-States,0.0,1,0,1,0,Low,60
1986,Sektor Pemerintah,289430,SMA Grad,Belum-menikah,Layanan Perlindungan,Tidak dalam Keluarga,1,Male,0,0,56,United-States,3.0,0,0,0,0,Low,38
1984,Swasta,280362,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,35,United-States,0.0,0,0,1,0,Low,40
1985,Sektor Pemerintah,200968,Diploma,Menikah,Administratif dan Kantor,Kerabat,1,Male,0,0,45,United-States,1.0,1,0,1,0,Low,39
1991,Swasta,259931,SMA,Rencana Cerai,Inspeksi dan Operasi Mesin,Kerabat,1,Male,0,0,30,United-States,3.0,0,0,1,0,Low,33
1985,Sektor Pemerintah,432555,SMA Grad,Menikah,Administratif dan Kantor,Suami,2,Male,0,1628,40,United-States,1.0,0,0,1,0,Low,39
1987,Swasta,208358,Diploma,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2.0,1,0,1,0,Low,37
1994,Swasta,141118,Asosiasi vokasional,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,30
1986,Swasta,235379,Asosiasi akademik,Belum-menikah,Spesialis Profesional,Belum Menikah,1,Female,0,0,36,United-States,0.0,0,0,0,0,Low,38
1980,Swasta,121012,SMP,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,44
1987,Swasta,409189,SMA Grad,Menikah,Layanan Lainnya,Suami,1,Male,0,0,30,Mexico,3.0,0,0,1,0,Low,37
1984,Swasta,203761,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,3.0,1,0,1,0,Low,40
2004,Swasta,206671,Diploma,Belum-menikah,Spesialis Profesional,Punya Anak,1,Male,1055,0,50,United-States,1.0,0,0,0,4220,Low,20
1955,Pengusaha berbadan hukum,69209,Sarjana,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,3818,0,30,United-States,3.0,0,0,1,15272,Low,69
1987,Swasta,64922,Sarjana,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,70,England,1.0,0,0,0,0,Low,37
1996,Sektor Pemerintah,336543,Asosiasi akademik,Menikah,Layanan Perlindungan,Suami,3,Male,0,0,40,Hong Kong,1.0,1,0,1,0,Low,28
1997,Sektor Pemerintah,106721,SMA Grad,Menikah,Dukungan Teknis,Suami,1,Male,0,0,40,United-States,0.0,0,0,1,0,Low,27
1981,Swasta,90582,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,0.0,0,0,1,0,Low,43
1987,Swasta,208106,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Male,0,0,35,United-States,2.0,0,0,0,0,Low,37
1957,Swasta,274451,SMP,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0.0,0,0,1,0,Low,67
1980,Pengusaha perorangan,120837,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,66,United-States,0.0,0,0,1,0,Low,44
1988,Pengusaha perorangan,129150,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,50,United-States,1.0,1,0,1,0,Low,36
1976,Swasta,197683,Diploma,Menikah,Sales,Suami,2,Male,0,0,40,United-States,3.0,1,0,1,0,Low,48
1995,Pengusaha perorangan,164607,Asosiasi vokasional,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,50,United-States,3.0,0,0,1,0,Low,29
1985,Sektor Pemerintah,85566,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,3.0,0,0,1,0,Low,39
1958,Swasta,186061,Diploma,Belum-menikah,Spesialis Profesional,Belum Menikah,2,Female,0,4356,40,United-States,0.0,0,0,0,0,Low,66
1977,Swasta,267205,Asosiasi vokasional,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,0.0,1,0,1,0,Low,47
1974,Pengusaha perorangan,93705,Diploma,Belum-menikah,Sales,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,50
1983,Swasta,204235,Asosiasi vokasional,Menikah,Sales,Suami,1,Male,0,0,40,United-States,2.0,1,0,1,0,Low,41
1982,Swasta,137907,SMA Grad,Belum-menikah,Administratif dan Kantor,Belum Menikah,1,Female,0,0,35,United-States,0.0,0,0,0,0,Low,42
1992,Swasta,211028,Diploma,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0.0,0,0,0,0,Low,32
1982,Swasta,169383,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,1.0,1,0,1,0,Low,42
1982,Pengusaha perorangan,69333,Sarjana,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,50,United-States,1.0,0,0,1,0,Low,42
2000,Sektor Pemerintah,42251,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,30,United-States,0.0,0,0,0,0,Low,24
1980,Swasta,162108,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,45,United-States,0.0,0,0,0,0,Low,44
1952,Swasta,107814,Magister,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,2329,0,60,United-States,0.0,0,0,0,9316,Low,72
2004,Swasta,164775,SD,Belum-menikah,Pengelola Kebersihan,Kerabat,1,Male,0,0,40,Guatemala,0.0,0,0,0,0,Low,20
1999,Pengusaha perorangan,108001,SMP,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,15,United-States,0.0,0,0,0,0,Low,25
1993,Swasta,265706,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,7298,0,40,United-States,2.0,1,0,1,29192,Low,31
1973,Swasta,138358,SMA,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,2,Female,0,0,35,United-States,2.0,0,0,0,0,Low,51
1992,Pengusaha berbadan hukum,110331,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,65,United-States,2.0,1,0,1,0,Low,32
1980,Swasta,192976,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,4,Male,0,0,40,United-States,0.0,0,0,1,0,Low,44
1993,Swasta,231569,Sarjana,Belum-menikah,Sales,Tidak dalam Keluarga,2,Female,0,0,50,United-States,0.0,0,0,0,0,Low,31
1997,Swasta,249315,Diploma,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,0,0,44,United-States,0.0,0,0,0,0,Low,27
1994,Swasta,114691,SMA Grad,Belum-menikah,Pertanian dan Perikanan,Punya Anak,1,Male,0,0,40,United-States,1.0,0,0,0,0,Low,30
2002,Swasta,190625,Diploma,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Male,0,0,35,United-States,1.0,0,0,0,0,Low,22
1986,Swasta,167440,Sarjana,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,4508,0,40,United-States,1.0,0,0,1,18032,Low,38
1975,Swasta,83622,Asosiasi akademik,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,2597,0,40,United-States,1.0,0,0,0,10388,Low,49
1990,Pengusaha berbadan hukum,114733,Asosiasi akademik,Menikah,Administratif dan Kantor,Istri,1,Female,0,0,36,United-States,1.0,0,0,1,0,Low,34
1970,Sektor Pemerintah,198186,SMA Grad,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,2,Female,0,0,38,United-States,0.0,0,0,0,0,Low,54
2006,Swasta,41794,SMA,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,20,United-States,1.0,0,0,0,0,Low,18
1980,Sektor Pemerintah,190020,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,0.0,0,0,1,0,Low,44
1980,Swasta,467799,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2.0,0,0,1,0,Low,44
1984,Swasta,137421,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,3,Male,0,0,60,Trinadad&Tobago,1.0,0,0,1,0,Low,40
1979,Swasta,146497,Diploma,Belum-menikah,Eksekutif Manager,Belum Menikah,1,Female,0,0,55,United-States,1.0,0,0,0,0,Low,45
1952,Swasta,38360,SMA Grad,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,16,United-States,3.0,0,0,0,0,Low,72
1985,Swasta,119098,Asosiasi vokasional,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,2.0,0,0,1,0,Low,39
